week,gold_usd,real_yield_10y,broad_dollar_index,etf_flow_tonnes,managed_money_net_pct_oi,vix,target_4w_forward_return,real_yield_pressure,dollar_pressure,etf_flow_pressure,futures_position_pressure,momentum_pressure,market_risk_pressure,predicted_4w_return,fitted_4w_return,actual_4w_forward_return,contribution_real_yield_pressure,z_real_yield_pressure,contribution_dollar_pressure,z_dollar_pressure,contribution_etf_flow_pressure,z_etf_flow_pressure,contribution_futures_position_pressure,z_futures_position_pressure,contribution_momentum_pressure,z_momentum_pressure,contribution_market_risk_pressure,z_market_risk_pressure
2024-01-05,2039.55,1.83,119.388,-23.52650584,0.21813919466628295,13.35,0.00308415577118909,,,,,,,,,0.00308415577118909,,,,,,,,,,,,
2024-01-12,2055.65,1.69,119.534,-12.52290437,0.18058422085173187,12.7,-0.01576341430473991,,,,,,,,,-0.01576341430473991,,,,,,,,,,,,
2024-01-19,2013.2,1.81,120.6442,-4.13927848,0.17008628053640254,13.3,-0.004555362908897745,,,,,,,,,-0.004555362908897745,,,,,,,,,,,,
2024-01-26,2018.45,1.85,120.6173,-5.30297071,0.13100808805852251,13.26,0.004448955656293967,,,-45.4916594,,,,,,0.004448955656293967,,,,,-0.006040005553019169,-1.5667687365035623,,,,,,
2024-02-02,2045.85,1.82,120.902,-5.9990048,0.1301890650852373,13.85,0.0010747698828864306,0.010000000000000009,-0.012601606685884535,-27.964158360000006,-0.08795012958104564,0.00308415577118909,0.5,0.01965245613037612,0.019652456130376115,0.0010747698828864306,0.00031714993944597985,0.13565138178397437,0.00039854215556893766,-1.003107984820847,-0.004629740301233665,-1.2009479624530521,0.0012764758646495401,-0.5078224971376052,-0.000965432960076635,-0.4400276389049839,8.894704408132687e-05,0.06308231187640877
2024-02-09,2023.5,1.92,121.039,-16.902460259999998,0.16240894634246436,12.93,0.07045132476468442,-0.22999999999999998,-0.012511957982102114,-32.343714250000005,-0.01817527450926751,-0.01576341430473991,0.23000000000000043,0.013872978337198734,0.013872978337198734,0.07045132476468442,-0.0032445037201435886,-1.387739230250394,0.0003957431814096816,-0.9960631257282151,-0.004982119997336626,-1.2923547478254218,0.0003068807509236558,-0.12208687494479255,-0.0017898670185278966,-0.8157904180671596,2.033075293287483e-05,0.01441881414317923
2024-02-16,2004.05,1.97,121.1505,-11.2947122,0.0812144140376225,14.24,0.07530839048509858,-0.15999999999999992,-0.0041878563919157535,-39.49914797,-0.08887186649878004,-0.004555362908897745,0.9399999999999995,0.01572927896580969,0.01572927896580969,0.07530839048509858,-0.002205688069429964,-0.9434169684070361,0.00013585157933475406,-0.3419307144226119,-0.005557847222440833,-1.441697560365773,0.0012892843701012055,-0.512918125972586,-0.001299602264908243,-0.5923362261194708,0.0002007661852121377,0.142385789663894
2024-02-23,2027.45,1.96,121.0369,-13.1124065,0.12264194977190263,13.75,0.06868537725826693,-0.10999999999999988,-0.003472734359211226,-47.308583760000005,-0.00836613828661989,0.004448955656293967,0.4900000000000002,0.014981410839827318,0.014981410839827318,0.06868537725826693,-0.0014636768903488028,-0.6260439242332091,0.0001135243397227616,-0.2857343195849674,-0.006186195548055143,-1.604690210548811,0.00017057246993092926,-0.0678591268523792,-0.0009057336193277788,-0.41281771233295345,8.64056999647176e-05,0.061279960108511417
2024-03-01,2048.05,1.87,121.0111,-6.282319,0.136560512652148,13.11,0.07807078576478123,-0.050000000000000044,-0.0009019768453765814,-47.591897960000004,0.006371447566910687,0.0010747698828864306,-0.7400000000000002,0.015103791748700036,0.015103791748700038,0.07807078576478123,-0.0005732634754514131,-0.24519627122461804,3.3261228853918216e-05,-0.08371662516024025,-0.006208991049289779,-1.6106033307196201,-3.4221810429799756e-05,0.013614519248119114,-0.0010533279065452928,-0.48008863471272323,-0.0002261796263782312,-0.160409307342868
2024-03-08,2171.2,1.81,119.975,-8.67441496,0.09217634896284933,14.74,0.056998479246459066,0.10999999999999988,0.008829419970004113,-39.363852660000006,-0.07023259737961503,0.07045132476468442,1.8100000000000005,0.022583646989604397,0.022583646989604397,0.056998479246459066,0.001801172297608298,0.770397470131627,-0.0002705683533988754,0.6810051883891458,-0.0055469613423608875,-1.4388737787601318,0.001030272090637884,-0.40987484392629386,0.001981354785820194,0.903067229202889,0.0004218631233571504,0.2991903934709674
2024-03-15,2160.8,1.99,120.4003,-0.12339020999999953,0.10257087050625562,14.41,0.08208402549423635,-0.020000000000000018,0.006211549803196093,-28.192530670000004,0.021356456468633114,0.07530839048509858,0.16999999999999993,0.02015795002701363,0.02015795002701363,0.08208402549423635,-0.00012805676800271663,-0.05477244472032184,-0.00018883431107555692,0.47528524298170466,-0.004648115170105616,-1.2057143769593326,-0.00024245429468651956,0.0964559916714517,0.0021938134947101866,0.9999022326714301,5.082688233218669e-06,0.0036047035357947795
2024-03-22,2171.6,1.87,121.1842,-3.8960610200000008,0.10725318491664326,13.06,0.09151020626903446,0.08999999999999986,-0.0012162443169301885,-18.976185190000002,-0.015388764855259363,0.06868537725826693,-0.6899999999999995,0.02276618340728644,0.02276618340728644,0.09151020626903446,0.0015043678259758337,0.6434482524620961,4.307315579608749e-05,-0.10841268836117889,-0.0039065666887087265,-1.0133577694933704,0.0002681592639052028,-0.10668224194298416,0.0019041083681725916,0.8678596485867843,-0.00021347290579518436,-0.15139754850338094
2024-03-29,2214.35,1.88,121.0191,-0.8150149499999995,0.26962604389625966,13.01,0.04604777709227354,-0.009999999999999787,-6.610745273042823e-05,-13.50888114,0.13306553124411166,0.07807078576478123,-0.09999999999999964,0.02018370085739145,0.02018370085739145,0.04604777709227354,2.03454678135188e-05,0.008702164114444971,7.164065907671429e-06,-0.018031547266334207,-0.003466666619379666,-0.8992483254273784,-0.0017947695657067337,0.7140161344875899,0.0023146467237312555,1.0549759277555357,-6.353360291523338e-05,-0.04505879419743476
2024-04-05,2298.55,2.02,120.9646,-3.497094890000001,0.2941335279824816,16.03,-0.0017853259695296475,-0.20999999999999996,-0.008214553064354865,-8.33156107,0.20195717901963228,0.056998479246459066,1.290000000000001,0.01636080730634204,0.01636080730634204,-0.0017853259695296475,-0.0029476992485111242,-1.260790012580863,0.0002615714108302934,-0.6583603945990494,-0.003050098702742264,-0.7911912081468057,-0.0027520915836594002,1.0948691307602676,0.0013928978131904361,0.6348587227904987,0.0002897132292934649,0.205468101540303
2024-04-12,2345.65,2.11,122.2885,-8.522729470000003,0.2805385440625161,17.31,-0.008541479996432143,-0.11999999999999988,-0.015560982634823285,-16.73090033,0.17796767355626048,0.08208402549423635,2.8999999999999986,0.019089795194128165,0.019089795194128165,-0.008541479996432143,-0.0016120791261650348,-0.6895185330679744,0.0004909385479217708,-1.2356644600711417,-0.003725910746301885,-0.9664958783672698,-0.002418732134126215,0.9622481915051115,0.0024901946327913283,1.1349876273066666,0.000698869632067568,0.4956467361717829
2024-04-19,2379.7,2.21,123.1075,1.3356323100000012,0.2605139667396891,18.71,0.009577054986944293,-0.33999999999999986,-0.015746255309939238,-11.499206999999998,0.1532607818230458,0.09151020626903446,5.65,0.017706193052272882,0.017706193052272886,0.009577054986944293,-0.004876928314122139,-2.0859599274328118,0.000496723053532966,-1.2502237323733343,-0.00330496794935329,-0.8573039234383945,-0.0020754038466616847,0.8256613330249604,0.0029025164568012604,1.3229167805372386,0.0013977392641351366,0.9912934723435664
2024-04-26,2318.7,2.24,122.9471,-22.0416867,0.27533031540981195,15.03,0.016531422979187988,-0.3600000000000003,-0.015805797180901582,-32.72587875,0.005704271513552295,0.04604777709227354,2.0199999999999996,0.014842665372453465,0.014842665372453464,0.016531422979187988,-0.00517373278575461,-2.2129091451023455,0.0004985820448087556,-1.2549027079005148,-0.005012869007910696,-1.300330996857476,-2.495069634915059e-05,0.009926176652643963,0.0009138900799125883,0.41653528594124456,0.00047523134980594637,0.3370397805968125
2024-05-03,2294.45,2.15,122.1375,-4.71038392,0.25977171593967574,13.49,0.023177206517090817,-0.1299999999999999,-0.009649518461797534,-33.93916778,-0.03436181204280586,-0.0017853259695296475,-2.540000000000001,0.01527166930682606,0.015271669306826056,0.023177206517090817,-0.001760481361981267,-0.7529931419027398,0.00030637329749913587,-0.7711242004463855,-0.005110490417572957,-1.3256538498465404,0.0005318097412384969,-0.21157074589262537,-0.0011784347729300716,-0.537110179763066,-0.0006836215673679125,-0.48483262556439893
2024-05-10,2325.7,2.16,122.014,-6.2697499500000005,0.23799673483254222,12.55,0.01489475501875843,-0.050000000000000266,0.0022472149529224788,-31.686188259999994,-0.04254180922997389,-0.008541479996432143,-4.759999999999998,0.015522689724373318,0.01552268972437332,0.01489475501875843,-0.0005732634754514164,-0.24519627122461946,-6.506151418733309e-05,0.16375613840067083,-0.004929215361717053,-1.2786313615839264,0.0006454794191591547,-0.25679214121163835,-0.0014739637701154827,-0.6718071833221029,-0.0012477999612551852,-0.8849547180376198
2024-05-17,2402.6,2.1,121.2354,15.2847999,0.06803290802502586,11.99,-0.03049010232810424,0.10999999999999988,0.015323847214543522,-17.737020669999996,-0.1924810587146632,0.009577054986944293,-6.720000000000001,0.020989209246703264,0.020989209246703267,-0.03049010232810424,0.001801172297608298,0.770397470131627,-0.0004733346318801806,1.1913564025703578,-0.0038068633334036347,-0.9874948628047433,0.002729043240345551,-1.0856997703511406,-0.0006814193057967886,-0.31057912939934523,-0.0017459034081106163,-1.2382156645455094
