quarter,gold_usd,central_bank_net_purchase_tonnes,real_rate_10y_tips,broad_dollar_index,federal_debt_trillion_usd,us_cpi,nominal_gdp_billion_usd,consumer_sentiment,debt_to_gdp,weak_consumer_sentiment,cumulative_central_bank_purchase_tonnes,central_bank_purchase_4q_tonnes,real_gold_usd
2016Q1,1231.0,110.59,0.4933333333333334,113.60903220338984,19.264938619643072,237.68933333333334,18525.933,91.56666666666666,1.039890332089783,-91.56666666666666,110.59,110.59,1699.3102635372784
2016Q2,1295.5,84.92,0.19000000000000003,110.91595625000004,19.381591140792217,239.59033333333335,18711.702,92.39999999999999,1.0358005456046817,-92.39999999999999,195.51,195.51,1774.1586200611878
2016Q3,1342.575,88.95,0.08333333333333333,112.0512875,19.573444713936787,240.6073333333333,18892.639,90.33333333333333,1.0360355011248978,-90.33333333333333,284.46,284.46,1830.855277443747
2016Q4,1216.75,110.4,0.3266666666666667,115.8630426229508,19.9768269510478,242.13466666666667,19089.379,93.06666666666666,1.0464890948546728,-93.06666666666666,394.86,394.86,1648.8027485393804
2017Q1,1226.475,92.04,0.4366666666666667,116.46396229508197,19.84642006267687,243.83866666666665,19280.084,97.23333333333335,1.0293741491311381,-97.23333333333335,486.90000000000003,376.31000000000006,1650.3666741055563
2017Q2,1250.6333333333334,96.26,0.44,113.90348124999997,19.84455418265133,244.12,19438.643,96.36666666666667,1.0208816625034645,-96.36666666666667,583.1600000000001,387.65000000000003,1680.9351493345716
2017Q3,1288.25,96.59,0.45,109.93858412698415,20.24490001605351,245.287,19692.595,95.09999999999998,1.028046329904896,-95.09999999999998,679.7500000000001,395.29,1723.256556944858
2017Q4,1265.1,93.66,0.5,110.97474426229505,20.49274654619375,247.23833333333332,20037.088,98.36666666666667,1.0227407568501845,-98.36666666666667,773.4100000000001,378.55000000000007,1678.933012140782
2018Q1,1337.975,84.8,0.6833333333333332,107.99645999999998,21.089642954195853,249.3216666666667,20328.553,98.93333333333334,1.0374394554396396,-98.93333333333334,858.21,371.31000000000006,1760.8091949155373
2018Q2,1321.6,152.77,0.79,110.61840937500003,21.19506963532281,250.679,20580.912,98.33333333333333,1.0298411282902724,-98.33333333333333,1010.98,427.82000000000005,1729.8418370372735
2018Q3,1219.7,240.55,0.8133333333333334,113.64876666666663,21.51605818318023,251.68633333333332,20798.73,98.06666666666668,1.0344890377047171,-98.06666666666668,1251.53,571.7800000000001,1590.0753685473587
2018Q4,1235.0666666666666,178.12,1.0566666666666669,115.6998836065574,21.97409570579055,252.711,20917.867,98.13333333333333,1.0504940922413626,-98.13333333333333,1429.65,656.2400000000001,1603.5797910568901
2019Q1,1313.0749999999998,146.23,0.7933333333333334,114.55487796610171,22.027880157027987,253.38566666666668,21111.6,94.46666666666665,1.0434017391873656,-94.46666666666665,1575.88,717.6700000000002,1700.3244837250725
2019Q2,1332.35,227.81,0.5133333333333333,115.429475,22.02328261707545,255.24733333333333,21397.938,98.46666666666665,1.029224527011689,-98.46666666666665,1803.69,792.7100000000003,1712.70053275124
2019Q3,1454.9499999999998,113.46,0.15333333333333332,116.4749046875,22.719401753433782,256.08933333333334,21717.171000000002,93.8,1.0461492315658325,-93.8,1917.15,665.6200000000003,1864.150189712444
